epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,0.80555,0.24956,0.99672,0.83186,0.76786,0.87161,0.60059,0.95018,0.38889,1.2419,0.021073,7.31E-05,7.31E-05
21,0.77343,0.23517,0.9994,0.96565,0.75592,0.90092,0.61946,0.95895,0.30947,1.2673,0.017076,7.64E-05,7.64E-05
22,0.86711,0.2502,0.99784,0.92173,0.78947,0.90933,0.6426,0.96679,0.33662,1.2638,0.01308,7.98E-05,7.98E-05
23,0.8245,0.23742,1.0086,0.91866,0.78807,0.90756,0.64339,0.96506,0.32628,1.2697,0.0090831,8.31E-05,8.31E-05
24,0.80282,0.21619,0.98147,0.89908,0.79286,0.90258,0.65887,0.92236,0.32829,1.2433,0.0050863,8.63E-05,8.63E-05
25,0.76618,0.21375,0.95304,0.90097,0.81815,0.91782,0.65171,0.93284,0.31959,1.2667,0.0010896,8.96E-05,8.96E-05
26,0.76567,0.21915,0.96601,0.8874,0.81906,0.90969,0.66344,0.9108,0.33243,1.2542,9.01E-05,9.01E-05,9.01E-05
27,0.70516,0.20992,0.9588,0.85419,0.83515,0.89155,0.65019,0.9313,0.30993,1.2671,8.97E-05,8.97E-05,8.97E-05
28,0.74348,0.2161,0.98154,0.85446,0.84281,0.89574,0.6446,0.9423,0.29074,1.2869,8.93E-05,8.93E-05,8.93E-05
29,0.80971,0.24377,0.99553,0.86776,0.85029,0.91513,0.6809,0.934,0.27247,1.2668,8.89E-05,8.89E-05,8.89E-05
30,0.74943,0.21672,0.97016,0.90592,0.83929,0.92599,0.67663,0.90556,0.28238,1.2262,8.85E-05,8.85E-05,8.85E-05
31,0.79229,0.22142,0.96628,0.98988,0.83929,0.93922,0.68615,0.91948,0.28011,1.2284,8.81E-05,8.81E-05,8.81E-05
32,0.74362,0.215,0.94656,0.98119,0.7875,0.93709,0.67911,0.91557,0.27554,1.2212,8.77E-05,8.77E-05,8.77E-05
33,0.79643,0.2048,0.94095,0.89923,0.81131,0.93203,0.69414,0.89455,0.26444,1.1782,8.73E-05,8.73E-05,8.73E-05
34,0.65897,0.20152,0.93451,0.90264,0.8233,0.92853,0.70916,0.87258,0.2544,1.1682,8.69E-05,8.69E-05,8.69E-05
35,0.77968,0.21654,0.9739,0.91798,0.84796,0.93798,0.70423,0.86734,0.25818,1.1717,8.65E-05,8.65E-05,8.65E-05
36,0.74202,0.19868,0.93992,0.93062,0.84691,0.93289,0.69495,0.90738,0.27633,1.204,8.61E-05,8.61E-05,8.61E-05
37,0.71959,0.18459,0.92852,0.91302,0.825,0.91557,0.6647,0.91928,0.35596,1.1984,8.57E-05,8.57E-05,8.57E-05
38,0.6985,0.17669,0.91392,0.9244,0.83236,0.91475,0.65906,0.89081,0.36813,1.2015,8.53E-05,8.53E-05,8.53E-05
39,0.72897,0.19795,0.93071,0.90375,0.87891,0.92684,0.67125,0.89417,0.32622,1.2163,8.50E-05,8.50E-05,8.50E-05
40,0.71921,0.17965,0.92406,0.86915,0.86791,0.93434,0.69503,0.88723,0.2941,1.2122,8.46E-05,8.46E-05,8.46E-05
41,0.66869,0.20261,0.9512,0.81124,0.87857,0.90083,0.675,0.89409,0.27544,1.2039,8.42E-05,8.42E-05,8.42E-05
42,0.68566,0.20067,0.95722,0.80134,0.91178,0.87079,0.64581,0.91746,0.26706,1.2265,8.38E-05,8.38E-05,8.38E-05
43,0.69532,0.18998,0.9351,0.89447,0.84107,0.91731,0.67625,0.89949,0.25244,1.2136,8.34E-05,8.34E-05,8.34E-05
44,0.69972,0.19105,0.91801,0.91993,0.84107,0.93317,0.68965,0.90346,0.26407,1.2037,8.30E-05,8.30E-05,8.30E-05
45,0.66541,0.17542,0.92592,0.9035,0.87854,0.9222,0.68901,0.88895,0.26699,1.1825,8.26E-05,8.26E-05,8.26E-05
46,0.67762,0.17985,0.93053,0.90957,0.88036,0.9208,0.69169,0.88182,0.25238,1.1698,8.22E-05,8.22E-05,8.22E-05
47,0.71095,0.19373,0.91511,0.91104,0.89464,0.92791,0.69638,0.89148,0.24625,1.1781,8.18E-05,8.18E-05,8.18E-05
48,0.71967,0.18537,0.90637,0.90791,0.88036,0.92994,0.69652,0.88684,0.25325,1.1797,8.14E-05,8.14E-05,8.14E-05
49,0.70693,0.18868,0.9461,0.92286,0.83456,0.91743,0.68862,0.88289,0.26941,1.184,8.10E-05,8.10E-05,8.10E-05
50,0.66851,0.18076,0.92993,0.91627,0.8375,0.92162,0.67776,0.89458,0.27546,1.1933,8.06E-05,8.06E-05,8.06E-05
51,0.66404,0.18672,0.93735,0.89383,0.88495,0.93492,0.70907,0.89072,0.25689,1.1871,8.02E-05,8.02E-05,8.02E-05
52,0.63338,0.17835,0.93494,0.9269,0.89143,0.94045,0.72664,0.84549,0.25438,1.163,7.98E-05,7.98E-05,7.98E-05
53,0.63964,0.17181,0.92334,0.94038,0.87887,0.93776,0.72688,0.83144,0.24535,1.1555,7.94E-05,7.94E-05,7.94E-05
54,0.69168,0.18732,0.94324,0.92914,0.86086,0.93444,0.73526,0.82802,0.24219,1.1431,7.90E-05,7.90E-05,7.90E-05
55,0.65294,0.17115,0.91562,0.89754,0.88214,0.93265,0.73159,0.84912,0.23866,1.1387,7.86E-05,7.86E-05,7.86E-05
56,0.66098,0.17116,0.92345,0.87226,0.90301,0.9322,0.73025,0.86075,0.2379,1.1443,7.82E-05,7.82E-05,7.82E-05
57,0.62494,0.17052,0.94472,0.88285,0.9233,0.93829,0.72915,0.83493,0.23205,1.1391,7.78E-05,7.78E-05,7.78E-05
58,0.6392,0.16843,0.87567,0.90606,0.90983,0.94158,0.72713,0.82471,0.21794,1.1373,7.74E-05,7.74E-05,7.74E-05
59,0.63169,0.16828,0.91768,0.91733,0.91786,0.94753,0.73746,0.82097,0.20999,1.1345,7.70E-05,7.70E-05,7.70E-05
60,0.62757,0.17716,0.93828,0.93037,0.91131,0.9501,0.74749,0.82815,0.20557,1.142,7.66E-05,7.66E-05,7.66E-05
61,0.66673,0.18664,0.93928,0.90747,0.89069,0.94377,0.74379,0.82443,0.21097,1.1523,7.62E-05,7.62E-05,7.62E-05
62,0.62121,0.16227,0.89877,0.92935,0.85,0.93567,0.74444,0.81738,0.21635,1.1484,7.58E-05,7.58E-05,7.58E-05
63,0.58529,0.15406,0.89924,0.92585,0.84098,0.93017,0.73934,0.81487,0.22513,1.1384,7.54E-05,7.54E-05,7.54E-05
64,0.54649,0.1551,0.92219,0.92441,0.81875,0.91648,0.71814,0.8193,0.24246,1.1394,7.51E-05,7.51E-05,7.51E-05
65,0.58902,0.15488,0.9159,0.89511,0.81936,0.9047,0.71232,0.82641,0.26467,1.1382,7.47E-05,7.47E-05,7.47E-05
66,0.64583,0.16515,0.91577,0.86779,0.84442,0.90303,0.70983,0.83806,0.26542,1.1428,7.43E-05,7.43E-05,7.43E-05
67,0.6328,0.17347,0.91847,0.92579,0.82321,0.91382,0.71136,0.83737,0.25675,1.1392,7.39E-05,7.39E-05,7.39E-05
68,0.63498,0.1684,0.91878,0.915,0.86751,0.92628,0.71956,0.84647,0.2422,1.1447,7.35E-05,7.35E-05,7.35E-05
69,0.59881,0.16057,0.89391,0.88701,0.89208,0.93096,0.72169,0.8488,0.24171,1.1491,7.31E-05,7.31E-05,7.31E-05
70,0.61815,0.16438,0.90965,0.90775,0.91805,0.93964,0.71974,0.84926,0.23694,1.1583,7.27E-05,7.27E-05,7.27E-05
71,0.62638,0.1671,0.91729,0.90546,0.9193,0.93983,0.72363,0.8446,0.23078,1.1598,7.23E-05,7.23E-05,7.23E-05
72,0.64505,0.16572,0.91289,0.91517,0.88755,0.93515,0.7236,0.83632,0.22028,1.1556,7.19E-05,7.19E-05,7.19E-05
73,0.63953,0.16236,0.90034,0.91434,0.89286,0.93278,0.71583,0.85033,0.21692,1.1626,7.15E-05,7.15E-05,7.15E-05
74,0.57039,0.1496,0.89127,0.92248,0.88699,0.93135,0.72182,0.84313,0.21908,1.1448,7.11E-05,7.11E-05,7.11E-05
75,0.57827,0.14454,0.86771,0.88686,0.87901,0.9321,0.72657,0.8393,0.22229,1.1365,7.07E-05,7.07E-05,7.07E-05
76,0.58418,0.15104,0.86254,0.88339,0.87624,0.9316,0.72197,0.83548,0.22529,1.1313,7.03E-05,7.03E-05,7.03E-05
77,0.57979,0.14731,0.89776,0.85415,0.88898,0.92845,0.72305,0.82082,0.22493,1.1331,6.99E-05,6.99E-05,6.99E-05
78,0.57286,0.14955,0.87872,0.89998,0.85655,0.93299,0.72512,0.82987,0.22811,1.144,6.95E-05,6.95E-05,6.95E-05
79,0.57386,0.16248,0.95598,0.90165,0.86996,0.93654,0.72663,0.84098,0.23161,1.1563,6.91E-05,6.91E-05,6.91E-05
80,0.6363,0.16944,0.92564,0.89706,0.87274,0.93609,0.72644,0.83668,0.23339,1.1554,6.87E-05,6.87E-05,6.87E-05
81,0.56992,0.15703,0.90748,0.89706,0.87857,0.93325,0.71817,0.836,0.22884,1.1528,6.83E-05,6.83E-05,6.83E-05
82,0.61915,0.17133,0.91847,0.89488,0.90286,0.93659,0.72578,0.83257,0.2261,1.156,6.79E-05,6.79E-05,6.79E-05
83,0.56557,0.14703,0.8878,0.8935,0.90687,0.9436,0.72737,0.83445,0.22378,1.1637,6.75E-05,6.75E-05,6.75E-05
84,0.52161,0.13474,0.87303,0.90867,0.89286,0.94081,0.72162,0.83563,0.21936,1.1659,6.71E-05,6.71E-05,6.71E-05
85,0.57343,0.14493,0.87513,0.93241,0.87786,0.93709,0.72743,0.8357,0.22801,1.169,6.67E-05,6.67E-05,6.67E-05
86,0.51614,0.13268,0.90262,0.92402,0.85819,0.93463,0.72061,0.83956,0.23732,1.1689,6.63E-05,6.63E-05,6.63E-05
87,0.56596,0.13735,0.8913,0.92658,0.87252,0.9347,0.71437,0.8378,0.24346,1.1689,6.59E-05,6.59E-05,6.59E-05
88,0.55046,0.15816,0.91253,0.9264,0.85416,0.93856,0.71456,0.83306,0.24416,1.1726,6.55E-05,6.55E-05,6.55E-05
89,0.51454,0.1374,0.88527,0.92466,0.84087,0.93626,0.705,0.82498,0.24142,1.1623,6.52E-05,6.52E-05,6.52E-05
90,0.57554,0.14497,0.89681,0.91386,0.85268,0.93761,0.71844,0.82428,0.24335,1.151,6.48E-05,6.48E-05,6.48E-05
91,0.54616,0.14759,0.88914,0.93128,0.82423,0.93911,0.72987,0.81333,0.23927,1.1449,6.44E-05,6.44E-05,6.44E-05
92,0.54026,0.15027,0.89313,0.86437,0.89891,0.93772,0.73227,0.8103,0.24097,1.1461,6.40E-05,6.40E-05,6.40E-05
93,0.53984,0.1379,0.87599,0.91943,0.82549,0.93264,0.73937,0.80787,0.24305,1.1462,6.36E-05,6.36E-05,6.36E-05
94,0.53573,0.13341,0.87061,0.92164,0.81532,0.93238,0.73588,0.81969,0.24381,1.1505,6.32E-05,6.32E-05,6.32E-05
95,0.54401,0.13894,0.89086,0.91863,0.82186,0.93264,0.73748,0.83047,0.23756,1.1524,6.28E-05,6.28E-05,6.28E-05
96,0.56659,0.16019,0.91408,0.89803,0.84204,0.93667,0.73846,0.83038,0.23188,1.1547,6.24E-05,6.24E-05,6.24E-05
97,0.56708,0.14031,0.89066,0.88595,0.88528,0.93709,0.73547,0.83051,0.2304,1.1583,6.20E-05,6.20E-05,6.20E-05
98,0.55483,0.15408,0.89013,0.91334,0.88802,0.94113,0.73425,0.82113,0.22561,1.1662,6.16E-05,6.16E-05,6.16E-05
99,0.55256,0.14448,0.88723,0.88623,0.90582,0.94422,0.74146,0.82359,0.21931,1.1745,6.12E-05,6.12E-05,6.12E-05
100,0.56803,0.16095,0.91182,0.91887,0.86301,0.94775,0.74226,0.82318,0.21251,1.178,6.08E-05,6.08E-05,6.08E-05
101,0.54534,0.14537,0.899,0.94814,0.86725,0.95319,0.74379,0.82149,0.21083,1.1845,6.04E-05,6.04E-05,6.04E-05
102,0.46775,0.152,0.92027,0.97022,0.83942,0.95537,0.74437,0.83257,0.20959,1.2031,6.00E-05,6.00E-05,6.00E-05
103,0.5186,0.13043,0.8761,0.90821,0.90347,0.95953,0.74687,0.83968,0.2045,1.2079,5.96E-05,5.96E-05,5.96E-05
104,0.52845,0.1441,0.88264,0.91698,0.94643,0.96557,0.75309,0.85491,0.20335,1.2133,5.92E-05,5.92E-05,5.92E-05
105,0.49825,0.14344,0.88543,0.915,0.9422,0.96445,0.74835,0.86644,0.20437,1.2193,5.88E-05,5.88E-05,5.88E-05
106,0.49385,0.12459,0.86544,0.92789,0.90536,0.96192,0.73938,0.86371,0.20016,1.2175,5.84E-05,5.84E-05,5.84E-05
107,0.47498,0.12691,0.87446,0.95408,0.87039,0.95725,0.74134,0.86854,0.20509,1.2193,5.80E-05,5.80E-05,5.80E-05
108,0.57725,0.15226,0.87931,0.91214,0.89273,0.95415,0.73802,0.87049,0.21429,1.2339,5.76E-05,5.76E-05,5.76E-05
109,0.50408,0.12874,0.86687,0.90297,0.88356,0.9506,0.72437,0.87563,0.22788,1.2385,5.72E-05,5.72E-05,5.72E-05
110,0.50096,0.12679,0.86391,0.86797,0.89933,0.94419,0.71868,0.87822,0.24167,1.2391,5.68E-05,5.68E-05,5.68E-05
111,0.49493,0.13673,0.88622,0.9216,0.86126,0.93969,0.71434,0.88036,0.24397,1.234,5.64E-05,5.64E-05,5.64E-05
112,0.50277,0.12225,0.84948,0.91384,0.86786,0.9375,0.72571,0.87862,0.24127,1.2286,5.60E-05,5.60E-05,5.60E-05
113,0.51998,0.13802,0.87979,0.9185,0.86786,0.93583,0.73207,0.87127,0.24293,1.2176,5.56E-05,5.56E-05,5.56E-05
114,0.58265,0.15104,0.88338,0.93564,0.85357,0.93487,0.72027,0.86827,0.24612,1.2141,5.53E-05,5.53E-05,5.53E-05
115,0.51555,0.12609,0.86712,0.94285,0.85357,0.93411,0.72559,0.86712,0.24867,1.2125,5.49E-05,5.49E-05,5.49E-05
116,0.48185,0.12726,0.87115,0.94694,0.86607,0.93064,0.71738,0.86893,0.24598,1.2141,5.45E-05,5.45E-05,5.45E-05
117,0.49696,0.13054,0.88995,0.93465,0.87729,0.93071,0.71259,0.89048,0.24571,1.2283,5.41E-05,5.41E-05,5.41E-05
118,0.57057,0.14796,0.87476,0.93853,0.88036,0.93164,0.71189,0.89631,0.24578,1.2427,5.37E-05,5.37E-05,5.37E-05
119,0.54863,0.14511,0.88283,0.94217,0.87867,0.93322,0.69913,0.91864,0.24552,1.2523,5.33E-05,5.33E-05,5.33E-05
120,0.5232,0.13642,0.85346,0.92743,0.88635,0.93547,0.70459,0.92762,0.24705,1.2515,5.29E-05,5.29E-05,5.29E-05
121,0.52812,0.13968,0.87535,0.93541,0.89286,0.94114,0.7189,0.89803,0.23456,1.235,5.25E-05,5.25E-05,5.25E-05
122,0.53728,0.14223,0.89383,0.94589,0.89161,0.94428,0.73456,0.87849,0.23316,1.2235,5.21E-05,5.21E-05,5.21E-05
123,0.52701,0.14499,0.87946,0.94719,0.88508,0.94695,0.73462,0.86437,0.23257,1.2147,5.17E-05,5.17E-05,5.17E-05
124,0.54788,0.13833,0.90059,0.94258,0.90654,0.95128,0.74003,0.85832,0.23215,1.211,5.13E-05,5.13E-05,5.13E-05
125,0.48359,0.13327,0.87232,0.96751,0.87689,0.95511,0.74586,0.8509,0.22681,1.1975,5.09E-05,5.09E-05,5.09E-05
126,0.48813,0.1244,0.8565,0.96714,0.87326,0.95363,0.74347,0.83529,0.22257,1.185,5.05E-05,5.05E-05,5.05E-05
127,0.46095,0.12295,0.86942,0.94039,0.87342,0.94884,0.75146,0.82359,0.22085,1.1826,5.01E-05,5.01E-05,5.01E-05
128,0.52275,0.14604,0.92551,0.93027,0.88756,0.94751,0.75923,0.81611,0.2182,1.1797,4.97E-05,4.97E-05,4.97E-05
129,0.4526,0.11898,0.87749,0.89545,0.91532,0.94699,0.76227,0.81708,0.22081,1.1733,4.93E-05,4.93E-05,4.93E-05
130,0.48961,0.13177,0.90673,0.93354,0.8704,0.94672,0.75971,0.81025,0.22105,1.1653,4.89E-05,4.89E-05,4.89E-05
131,0.48582,0.12691,0.85129,0.9499,0.84444,0.94498,0.76119,0.80387,0.22406,1.1538,4.85E-05,4.85E-05,4.85E-05
132,0.5077,0.12753,0.86461,0.93637,0.8498,0.94236,0.763,0.80286,0.22465,1.1469,4.81E-05,4.81E-05,4.81E-05
133,0.51971,0.1307,0.88641,0.93818,0.85133,0.9419,0.7579,0.80003,0.2239,1.1432,4.77E-05,4.77E-05,4.77E-05
134,0.47345,0.12336,0.85922,0.91973,0.87789,0.94259,0.76376,0.80637,0.22305,1.1437,4.73E-05,4.73E-05,4.73E-05
135,0.52162,0.14397,0.8951,0.94529,0.87013,0.94421,0.75726,0.79703,0.22137,1.144,4.69E-05,4.69E-05,4.69E-05
136,0.43209,0.12948,0.88917,0.93942,0.89151,0.94562,0.75301,0.80229,0.22569,1.1468,4.65E-05,4.65E-05,4.65E-05
137,0.47788,0.1394,0.88088,0.92693,0.8786,0.94494,0.75454,0.79521,0.21756,1.145,4.61E-05,4.61E-05,4.61E-05
138,0.50165,0.13276,0.86162,0.89354,0.9158,0.94468,0.76091,0.79425,0.21354,1.1435,4.57E-05,4.57E-05,4.57E-05
139,0.43562,0.12342,0.87632,0.88956,0.90536,0.94342,0.75855,0.79485,0.21446,1.1468,4.54E-05,4.54E-05,4.54E-05
140,0.43662,0.11119,0.86195,0.90268,0.90441,0.94482,0.75977,0.79138,0.2094,1.1483,4.50E-05,4.50E-05,4.50E-05
141,0.45252,0.12424,0.88699,0.8931,0.90034,0.94772,0.76273,0.79388,0.21059,1.1517,4.46E-05,4.46E-05,4.46E-05
142,0.43227,0.12365,0.87887,0.90363,0.89286,0.9478,0.76216,0.78477,0.20708,1.1505,4.42E-05,4.42E-05,4.42E-05
143,0.49361,0.12793,0.85677,0.91097,0.88804,0.95063,0.7658,0.78148,0.20539,1.1469,4.38E-05,4.38E-05,4.38E-05
144,0.44454,0.11622,0.8701,0.9161,0.89409,0.95143,0.76615,0.78595,0.20927,1.1448,4.34E-05,4.34E-05,4.34E-05
145,0.52593,0.13504,0.88081,0.90305,0.90216,0.95112,0.75943,0.79097,0.21411,1.1444,4.30E-05,4.30E-05,4.30E-05
146,0.45385,0.12885,0.89054,0.90181,0.90536,0.95176,0.76046,0.79535,0.21249,1.1437,4.26E-05,4.26E-05,4.26E-05
147,0.43595,0.12207,0.87675,0.91458,0.88968,0.95287,0.75896,0.79986,0.21384,1.146,4.22E-05,4.22E-05,4.22E-05
148,0.45593,0.11827,0.85437,0.92836,0.87839,0.95388,0.76336,0.80307,0.21347,1.1487,4.18E-05,4.18E-05,4.18E-05
149,0.47468,0.12584,0.87122,0.943,0.86313,0.95246,0.76082,0.80665,0.2178,1.1502,4.14E-05,4.14E-05,4.14E-05
150,0.45952,0.12481,0.88175,0.87536,0.93238,0.95004,0.76073,0.81449,0.22056,1.1533,4.10E-05,4.10E-05,4.10E-05
151,0.48875,0.12623,0.87645,0.88284,0.93059,0.94963,0.75813,0.81784,0.22184,1.1523,4.06E-05,4.06E-05,4.06E-05
152,0.47952,0.12121,0.86197,0.8802,0.93038,0.95163,0.76094,0.81203,0.22291,1.146,4.02E-05,4.02E-05,4.02E-05
153,0.50486,0.14028,0.87311,0.86788,0.93393,0.95284,0.76763,0.80372,0.21522,1.1381,3.98E-05,3.98E-05,3.98E-05
154,0.49349,0.16156,0.9062,0.88287,0.91031,0.95069,0.77348,0.80113,0.21172,1.1248,3.94E-05,3.94E-05,3.94E-05
155,0.48998,0.13113,0.88124,0.89513,0.91355,0.94905,0.7731,0.7987,0.20557,1.1059,3.90E-05,3.90E-05,3.90E-05
156,0.43274,0.11983,0.87562,0.89881,0.903,0.94925,0.77232,0.7965,0.20595,1.104,3.86E-05,3.86E-05,3.86E-05
157,0.44984,0.11698,0.87229,0.90382,0.9181,0.95143,0.77682,0.79823,0.20705,1.1041,3.82E-05,3.82E-05,3.82E-05
158,0.49994,0.12588,0.86494,0.90347,0.92143,0.9524,0.77616,0.79567,0.2066,1.1332,3.78E-05,3.78E-05,3.78E-05
159,0.41752,0.12493,0.88363,0.90163,0.92143,0.955,0.77641,0.79566,0.20036,1.1451,3.74E-05,3.74E-05,3.74E-05
160,0.413,0.11751,0.84868,0.90123,0.9198,0.95516,0.77247,0.78873,0.19471,1.1427,3.70E-05,3.70E-05,3.70E-05
161,0.39017,0.12034,0.86897,0.89808,0.919,0.95789,0.77336,0.78382,0.19093,1.1393,3.66E-05,3.66E-05,3.66E-05
162,0.49822,0.12569,0.87277,0.93902,0.89129,0.95781,0.77061,0.7826,0.19446,1.1362,3.62E-05,3.62E-05,3.62E-05
163,0.50448,0.12877,0.87296,0.93347,0.9035,0.95801,0.77108,0.77966,0.1976,1.1338,3.58E-05,3.58E-05,3.58E-05
164,0.45415,0.11556,0.86285,0.92929,0.89673,0.95585,0.76554,0.78362,0.1972,1.1375,3.55E-05,3.55E-05,3.55E-05
165,0.39026,0.1087,0.84254,0.9612,0.86607,0.95116,0.76629,0.7851,0.19877,1.1375,3.51E-05,3.51E-05,3.51E-05
166,0.45285,0.12055,0.86688,0.93872,0.89286,0.94889,0.76185,0.78438,0.19968,1.1371,3.47E-05,3.47E-05,3.47E-05
167,0.38546,0.10455,0.84978,0.93366,0.89286,0.94612,0.75745,0.78464,0.20356,1.1373,3.43E-05,3.43E-05,3.43E-05
168,0.49122,0.1261,0.87175,0.95722,0.87746,0.94274,0.75584,0.78438,0.20727,1.1359,3.39E-05,3.39E-05,3.39E-05
169,0.43134,0.11667,0.86865,0.95675,0.88036,0.94275,0.75164,0.79144,0.20696,1.1412,3.35E-05,3.35E-05,3.35E-05
170,0.41662,0.1192,0.85239,0.96013,0.88036,0.94197,0.75141,0.78653,0.21176,1.1428,3.31E-05,3.31E-05,3.31E-05
171,0.38262,0.11567,0.87561,0.95097,0.88393,0.94413,0.75661,0.78165,0.21194,1.1396,3.27E-05,3.27E-05,3.27E-05
172,0.40623,0.11614,0.86516,0.955,0.87621,0.94142,0.75448,0.78469,0.21371,1.1417,3.23E-05,3.23E-05,3.23E-05
173,0.45204,0.12413,0.87762,0.95871,0.8708,0.9445,0.76574,0.78879,0.21503,1.1442,3.19E-05,3.19E-05,3.19E-05
174,0.46588,0.12153,0.8649,0.90065,0.92081,0.94399,0.75912,0.79726,0.21455,1.1515,3.15E-05,3.15E-05,3.15E-05
175,0.43353,0.12685,0.86942,0.8895,0.91863,0.94399,0.7583,0.8003,0.21109,1.1559,3.11E-05,3.11E-05,3.11E-05
176,0.48653,0.12243,0.85937,0.89107,0.9179,0.94345,0.75873,0.80123,0.20944,1.1603,3.07E-05,3.07E-05,3.07E-05
177,0.46029,0.11722,0.87385,0.8811,0.93067,0.94359,0.75934,0.79947,0.20715,1.1647,3.03E-05,3.03E-05,3.03E-05
178,0.45127,0.11771,0.85586,0.87947,0.93393,0.94286,0.75344,0.7955,0.20544,1.1648,2.99E-05,2.99E-05,2.99E-05
179,0.38462,0.10118,0.84394,0.91771,0.89716,0.945,0.76404,0.79111,0.20357,1.1616,2.95E-05,2.95E-05,2.95E-05
180,0.46804,0.11415,0.83644,0.93628,0.89464,0.94439,0.75721,0.79051,0.20321,1.1625,2.91E-05,2.91E-05,2.91E-05
181,0.39945,0.11097,0.86067,0.93625,0.89949,0.9449,0.76082,0.79208,0.20333,1.1639,2.87E-05,2.87E-05,2.87E-05
182,0.47277,0.12072,0.84198,0.93751,0.90239,0.94726,0.76158,0.79463,0.20415,1.1678,2.83E-05,2.83E-05,2.83E-05
183,0.51247,0.13293,0.8615,0.93801,0.89768,0.94778,0.75875,0.79668,0.20213,1.1704,2.79E-05,2.79E-05,2.79E-05
184,0.42421,0.114,0.8499,0.91922,0.91945,0.94829,0.76219,0.80003,0.20254,1.1723,2.75E-05,2.75E-05,2.75E-05
185,0.47517,0.12208,0.86523,0.91886,0.91343,0.94852,0.76119,0.80221,0.20751,1.1717,2.71E-05,2.71E-05,2.71E-05
186,0.43365,0.11386,0.84684,0.91831,0.90827,0.94443,0.75306,0.80085,0.2108,1.1711,2.67E-05,2.67E-05,2.67E-05
187,0.42308,0.11035,0.84839,0.90735,0.90098,0.94375,0.7485,0.80255,0.21071,1.1691,2.63E-05,2.63E-05,2.63E-05
188,0.36872,0.10504,0.8658,0.89977,0.90092,0.94036,0.74615,0.80718,0.21498,1.1685,2.59E-05,2.59E-05,2.59E-05
189,0.39639,0.1049,0.85425,0.88364,0.9085,0.93916,0.74857,0.80733,0.21686,1.1646,2.56E-05,2.56E-05,2.56E-05
